"name","location","city","state","country","creators_rec","notes","address","rating","user_ratings_total","google_maps_link","lat","lng","opening_hours","type"
"The Coffee Movement","San Francisco Bay Area","San Francisco","California","United States of America","Yes","Favorite coffee shop in SF! Bonus points if you go in the summer and they have a repurposed orange VW van for people to sit in.","1030 Washington St, San Francisco, CA 94108, United States",4.8,729,"https://www.google.com/maps/search/?api=1&query=1030%20Washington%20St,%20San%20Francisco,%20CA%2094108,%20United%20States&query_place_id=ChIJoTMb3PKAhYARsXkQt469sBw",37.7947575,-122.4102936,"Monday: 7:00 AM – 4:00 PM
 Tuesday: 7:00 AM – 4:00 PM
 Wednesday: 7:00 AM – 4:00 PM
 Thursday: 7:00 AM – 4:00 PM
 Friday: 7:00 AM – 4:00 PM
 Saturday: 7:00 AM – 4:00 PM
 Sunday: 7:00 AM – 4:00 PM","cafe"
"Sightglass","San Francisco Bay Area","San Francisco","California","United States of America",NA,"Come for the coffee, leave because they don't have Wi-Fi, but enjoy a good experience.","270 7th St, San Francisco, CA 94103, United States",4.5,2841,"https://www.google.com/maps/search/?api=1&query=270%207th%20St,%20San%20Francisco,%20CA%2094103,%20United%20States&query_place_id=ChIJf-V9OIKAhYARu8bBG2S6RME",37.77704,-122.4084386,"Monday: 7:00 AM – 5:00 PM
 Tuesday: 7:00 AM – 5:00 PM
 Wednesday: 7:00 AM – 5:00 PM
 Thursday: 7:00 AM – 5:00 PM
 Friday: 7:00 AM – 5:00 PM
 Saturday: 7:00 AM – 5:00 PM
 Sunday: 7:00 AM – 5:00 PM","cafe"
"Apple Visitor Center","San Francisco Bay Area","Cupertino","California","United States of America","Yes","Coffee: slightly average. Apple's HQ being across the street: kinda surreal. If you get a foamy drink, there's a nice litte surprise at the top :)","10600 N Tantau Ave, Cupertino, CA 95014, United States",4.4,1001,"https://www.google.com/maps/search/?api=1&query=10600%20N%20Tantau%20Ave,%20Cupertino,%20CA%2095014,%20United%20States&query_place_id=ChIJ0aPn18W1j4ARgC9zTSPeQRc",37.332773,-122.0053844,"Monday: 10:00 AM – 6:00 PM
 Tuesday: 10:00 AM – 6:00 PM
 Wednesday: 10:00 AM – 6:00 PM
 Thursday: 10:00 AM – 6:00 PM
 Friday: 10:00 AM – 6:00 PM
 Saturday: 10:00 AM – 6:00 PM
 Sunday: 11:00 AM – 6:00 PM","electronics_store"
"Ain’t Normal","San Francisco Bay Area","Oakland","California","United States of America",NA,"Homely coffee shop in a neighborhood lined with other cute restaurants and cafes. Sit outside sipping your drink in the tiny plaza-like area they have, taking in the sun, reading or just having an interesting conversation.","5701 College Ave, Oakland, CA 94618, United States",4.7,146,"https://www.google.com/maps/search/?api=1&query=5701%20College%20Ave,%20Oakland,%20CA%2094618,%20United%20States&query_place_id=ChIJUborLjx_hYARle9InnFaRGA",37.8453451,-122.2520176,"Monday: 7:00 AM – 7:00 PM
 Tuesday: 7:00 AM – 7:00 PM
 Wednesday: 7:00 AM – 7:00 PM
 Thursday: 7:00 AM – 7:00 PM
 Friday: 7:00 AM – 7:00 PM
 Saturday: 7:00 AM – 7:00 PM
 Sunday: 7:00 AM – 7:00 PM","liquor_store"
"Goody Cafe","San Francisco Bay Area","San Francisco","California","United States of America",NA,"Good-y coffee: also a tiny location in an usually busy part of Fort Mason, so prepare for lines. But it offers a good dose of caffeine after getting lunch from the Farmer's market next to it.","Landmark Building C, 2 Marina Blvd, San Francisco, CA 94123, United States",4.4,76,"https://www.google.com/maps/search/?api=1&query=Landmark%20Building%20C,%202%20Marina%20Blvd,%20San%20Francisco,%20CA%2094123,%20United%20States&query_place_id=ChIJ02-LXyeBhYARMKR34YswheM",37.8065274,-122.431413,"Monday: 8:30 AM – 2:00 PM
 Tuesday: 8:30 AM – 5:00 PM
 Wednesday: 8:30 AM – 5:00 PM
 Thursday: 8:30 AM – 5:00 PM
 Friday: 8:30 AM – 5:00 PM
 Saturday: 8:30 AM – 5:00 PM
 Sunday: 8:30 AM – 2:00 PM","cafe"
"HITW","San Francisco Bay Area","San Francisco","California","United States of America","Yes","Essentially a coffee window with a few squeaky tables around it on the street, but few coffee experiences beat getting an espresso shot, reading a book and taking in the beautiful North Beach SF neighborhood, especially in early fall.","524 Union St, San Francisco, CA 94133, United States",4.7,198,"https://www.google.com/maps/search/?api=1&query=524%20Union%20St,%20San%20Francisco,%20CA%2094133,%20United%20States&query_place_id=ChIJp8zEOPGAhYAR4VicktsDkf0",37.8006907,-122.4080931,"Monday: Closed
 Tuesday: Closed
 Wednesday: Closed
 Thursday: Closed
 Friday: Closed
 Saturday: 9:00 AM – 3:00 PM
 Sunday: 9:00 AM – 3:00 PM","cafe"
"1951 Coffee","San Francisco Bay Area","Berkeley","California","United States of America",NA,"Another good coffee place close to Berkeley's campus. Their refuge mission is very inspiring; go and learn more about the work they are doing!","2410 Channing Way, Berkeley, CA 94704, United States",4.7,327,"https://www.google.com/maps/search/?api=1&query=2410%20Channing%20Way,%20Berkeley,%20CA%2094704,%20United%20States&query_place_id=ChIJW2yuxCh8hYARGGQHIaJzsZc",37.8666359,-122.2599729,"Monday: 8:00 AM – 5:00 PM
 Tuesday: 8:00 AM – 5:00 PM
 Wednesday: 8:00 AM – 5:00 PM
 Thursday: 8:00 AM – 5:00 PM
 Friday: 8:00 AM – 5:00 PM
 Saturday: 8:00 AM – 3:00 PM
 Sunday: 8:00 AM – 3:00 PM","cafe"
"Red Bay Coffee Box","San Francisco Bay Area","Oakland","California","United States of America",NA,"A quiet and hidden coffee truck in downtown Oakland, but great coffee and some seating to enjoy it on.","2327 Broadway, Oakland, CA 94612, United States",4.7,83,"https://www.google.com/maps/search/?api=1&query=2327%20Broadway,%20Oakland,%20CA%2094612,%20United%20States&query_place_id=ChIJ_-pWxayAj4ARh4qLGoszSn0",37.8126899,-122.2663677,NA,"cafe"
"Crown Coffee Lab","San Francisco Bay Area","Oakland","California","United States of America","Yes","Coffee meets tasting menus: get their sample of 3 coffees and nerd out over tasting notes. Also offers classes, consultations and a podcast!","2523 Broadway, Oakland, CA 94612, United States",4.7,110,"https://www.google.com/maps/search/?api=1&query=2523%20Broadway,%20Oakland,%20CA%2094612,%20United%20States&query_place_id=ChIJrVeVEOWHj4ARvUAZyJpyVY4",37.8144754,-122.2650524,"Monday: 9:00 AM – 4:00 PM
 Tuesday: 9:00 AM – 4:00 PM
 Wednesday: 9:00 AM – 4:00 PM
 Thursday: 9:00 AM – 4:00 PM
 Friday: 9:00 AM – 4:00 PM
 Saturday: 9:00 AM – 4:00 PM
 Sunday: 9:00 AM – 4:00 PM","cafe"
"Nirvana Soul","San Francisco Bay Area","San Jose","California","United States of America","Yes","Great coffee in a pink, tropical-themed shop. The staff is incredibly friendly and it shows: the shop even has a coffee Spotify playlist!","315 S 1st St, San Jose, CA 95113, United States",4.8,474,"https://www.google.com/maps/search/?api=1&query=315%20S%201st%20St,%20San%20Jose,%20CA%2095113,%20United%20States&query_place_id=ChIJz1LOsPnNj4ARsOE14qXH6v0",37.3311664,-121.8870153,"Monday: 7:00 AM – 7:00 PM
 Tuesday: 7:00 AM – 7:00 PM
 Wednesday: 7:00 AM – 7:00 PM
 Thursday: 7:00 AM – 9:00 PM
 Friday: 7:00 AM – 9:00 PM
 Saturday: 7:00 AM – 7:00 PM
 Sunday: 7:00 AM – 12:00 PM","cafe"
"Sextant Coffee Roasters","San Francisco Bay Area","San Francisco","California","United States of America","Yes","Some of the best coffee the Bay Area has to offer. Also a quiet place for some concentrated work, reading or pondering life's philosophical questions.","1415 Folsom St, San Francisco, CA 94103, United States",4.5,599,"https://www.google.com/maps/search/?api=1&query=1415%20Folsom%20St,%20San%20Francisco,%20CA%2094103,%20United%20States&query_place_id=ChIJg1s92Sd-j4ARTKJr-IhF_-Q",37.7724648,-122.412957,"Monday: 7:30 AM – 4:00 PM
 Tuesday: 7:30 AM – 4:00 PM
 Wednesday: 7:30 AM – 4:00 PM
 Thursday: 7:30 AM – 4:00 PM
 Friday: 7:30 AM – 4:00 PM
 Saturday: 8:00 AM – 4:00 PM
 Sunday: 8:00 AM – 4:00 PM","cafe"
"Motivat","San Francisco Bay Area","Oakland","California","United States of America",NA,"Co-working space and coffee shop all in one: would recommend for when you need to get work done but are tired of staying in your house.","1528 Webster St, Oakland, CA 94612, United States",4.7,61,"https://www.google.com/maps/search/?api=1&query=1528%20Webster%20St,%20Oakland,%20CA%2094612,%20United%20States&query_place_id=ChIJe3cJT3eBj4ARyfavUlH0Wqw",37.8047954,-122.2676548,"Monday: 7:30 AM – 3:30 PM
 Tuesday: 7:30 AM – 3:30 PM
 Wednesday: 7:30 AM – 3:30 PM
 Thursday: 7:30 AM – 3:30 PM
 Friday: 7:30 AM – 3:30 PM
 Saturday: 7:30 AM – 3:30 PM
 Sunday: Closed","cafe"
"Bicycle Coffee","San Francisco Bay Area","Oakland","California","United States of America","Yes","Bike-themed shop geared towards cyclists. Expect to be served with both coffee and cycling gear if interested. They give you discounts if you show them your helmet!","377 2nd St #110, Oakland, CA 94607, United States",4.6,503,"https://www.google.com/maps/search/?api=1&query=377%202nd%20St%20#110,%20Oakland,%20CA%2094607,%20United%20States&query_place_id=ChIJSbBdUciAj4ARwTBjTQ6u0FY",37.795026,-122.2748249,"Monday: 7:30 AM – 3:00 PM
 Tuesday: 7:30 AM – 3:00 PM
 Wednesday: 7:30 AM – 3:00 PM
 Thursday: 7:30 AM – 3:00 PM
 Friday: 7:30 AM – 3:00 PM
 Saturday: 7:30 AM – 3:00 PM
 Sunday: 7:30 AM – 3:00 PM","cafe"
"Andytown","San Francisco Bay Area","San Francisco","California","United States of America",NA,"Cute shop overlooking the Pacific coast, and the coffee is very high quality. They have little quirks, like the descriptions on their coffee bean bags. Good for ruminating the vastness of the universe.","3629 Taraval St, San Francisco, CA 94116, United States",4.5,373,"https://www.google.com/maps/search/?api=1&query=3629%20Taraval%20St,%20San%20Francisco,%20CA%2094116,%20United%20States&query_place_id=ChIJyQd9b2N9j4ARU0bf2M8oyAk",37.7414594,-122.5052277,"Monday: 8:00 AM – 3:00 PM
 Tuesday: 8:00 AM – 3:00 PM
 Wednesday: 8:00 AM – 3:00 PM
 Thursday: 8:00 AM – 3:00 PM
 Friday: 8:00 AM – 5:00 PM
 Saturday: 8:00 AM – 5:00 PM
 Sunday: 8:00 AM – 5:00 PM","cafe"
"Flywheel","San Francisco Bay Area","San Francisco","California","United States of America",NA,"Great coffee right next to Golden Gate Park: get your drink to-go and walk over to one of the Park's striking green spaces.","672 Stanyan St, San Francisco, CA 94117, United States",4.5,958,"https://www.google.com/maps/search/?api=1&query=672%20Stanyan%20St,%20San%20Francisco,%20CA%2094117,%20United%20States&query_place_id=ChIJdam9at-HhYAReFFog6hjhdo",37.7696699,-122.4534997,"Monday: 7:00 AM – 6:00 PM
 Tuesday: 7:00 AM – 6:00 PM
 Wednesday: 7:00 AM – 6:00 PM
 Thursday: 7:00 AM – 6:00 PM
 Friday: 7:00 AM – 6:00 PM
 Saturday: 7:00 AM – 6:00 PM
 Sunday: 7:00 AM – 6:00 PM","cafe"
"Awaken","San Francisco Bay Area","Oakland","California","United States of America","Yes","Downtown Oakland spot with pretty good espresso and oversized beach lounging chairs in front of the shop that let you people-watch and bask in the sun.","4096 Piedmont Ave #724, Oakland, CA 94611, United States",0,0,"https://www.google.com/maps/search/?api=1&query=4096%20Piedmont%20Ave%20#724,%20Oakland,%20CA%2094611,%20United%20States&query_place_id=ChIJdYqLhraAj4ARFXdC_5afCMg",37.8264524,-122.2520478,"Monday: 9:00 AM – 6:00 PM
 Tuesday: 9:00 AM – 6:00 PM
 Wednesday: 9:00 AM – 6:00 PM
 Thursday: 9:00 AM – 6:00 PM
 Friday: 9:00 AM – 6:00 PM
 Saturday: Closed
 Sunday: Closed","point_of_interest"
"Kilovolt","San Francisco Bay Area","Oakland","California","United States of America",NA,"A nice pitstop when cycling around West Oakland, or when in the mood to see futuristic-looking concoctions in a garage-like decorated space.","1829 Mandela Pkwy, Oakland, CA 94607, United States",4.4,378,"https://www.google.com/maps/search/?api=1&query=1829%20Mandela%20Pkwy,%20Oakland,%20CA%2094607,%20United%20States&query_place_id=ChIJk0lM_uJ_hYARUers_89-3s0",37.8142768,-122.2905905,"Monday: 7:00 AM – 4:00 PM
 Tuesday: 7:00 AM – 4:00 PM
 Wednesday: 7:00 AM – 4:00 PM
 Thursday: 7:00 AM – 4:00 PM
 Friday: 7:00 AM – 4:00 PM
 Saturday: 7:00 AM – 4:00 PM
 Sunday: 7:00 AM – 4:00 PM","cafe"
"Haddon Hill","San Francisco Bay Area","Oakland","California","United States of America",NA,"As the name suggests, on an actual hill hidden from the main street. This cafe is great for reading out when the weather is nice and it's a quiet spot to meditate.","504 Wesley Ave, Oakland, CA 94606, United States",4.7,148,"https://www.google.com/maps/search/?api=1&query=504%20Wesley%20Ave,%20Oakland,%20CA%2094606,%20United%20States&query_place_id=ChIJX946rDiHj4AR9IBVQMmvTNM",37.8049375,-122.248852,"Monday: 8:00 AM – 2:00 PM
 Tuesday: 8:00 AM – 2:00 PM
 Wednesday: 8:00 AM – 2:00 PM
 Thursday: 8:00 AM – 2:00 PM
 Friday: 8:00 AM – 2:00 PM
 Saturday: 8:00 AM – 2:00 PM
 Sunday: 8:00 AM – 2:00 PM","cafe"
"CRO Cafe","San Francisco Bay Area","Oakland","California","United States of America",NA,"Minimalistic spot in a hidden corridor in Oakland's Temescal: you'll see some dogs, some babies, some people walking curiously around and have good coffee in the processs. Nice for meditating on the future.","Alley 49, Oakland, CA 94609, United States",4.4,100,"https://www.google.com/maps/search/?api=1&query=Alley%2049,%20Oakland,%20CA%2094609,%20United%20States&query_place_id=ChIJcdGPDeF9hYARrf-L17vFVzY",37.8360141,-122.2618377,"Monday: 7:00 AM – 3:00 PM
 Tuesday: 7:00 AM – 3:00 PM
 Wednesday: 7:00 AM – 3:00 PM
 Thursday: 7:00 AM – 3:00 PM
 Friday: 7:00 AM – 6:00 PM
 Saturday: 7:00 AM – 6:00 PM
 Sunday: 7:00 AM – 6:00 PM","cafe"
"Mind Coffee","San Francisco Bay Area","Berkeley","California","United States of America",NA,"New coffee shop on Euclid next to campus, surprisingly great coffee and a nice minimalistic decor. Nice book selection on the wall next to the baristas too.","1816 Euclid Ave, Berkeley, CA 94709, United States",4.8,35,"https://www.google.com/maps/search/?api=1&query=1816%20Euclid%20Ave,%20Berkeley,%20CA%2094709,%20United%20States&query_place_id=ChIJgz3oXhJ9hYARlD3v3inA8uY",37.8757834,-122.2605424,"Monday: 8:00 AM – 5:00 PM
 Tuesday: 8:00 AM – 5:00 PM
 Wednesday: 8:00 AM – 5:00 PM
 Thursday: 8:00 AM – 5:00 PM
 Friday: 8:00 AM – 5:00 PM
 Saturday: 10:00 AM – 5:00 PM
 Sunday: 10:00 AM – 5:00 PM","cafe"
"Piccino","San Francisco Bay Area","San Francisco","California","United States of America",NA,"Tiny coffee shop attached to the larger Piccino restaurant: more of a to-go spot, but the coffee is high quality and the Dogpatch streets are worth exploring.","1001 Minnesota St, San Francisco, CA 94107, United States",4.5,1098,"https://www.google.com/maps/search/?api=1&query=1001%20Minnesota%20St,%20San%20Francisco,%20CA%2094107,%20United%20States&query_place_id=ChIJZy35-bl_j4ARBBvSPp-LhIE",37.7575756,-122.3899633,"Monday: Closed
 Tuesday: Closed
 Wednesday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM
 Thursday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM
 Friday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM
 Saturday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM
 Sunday: 11:00 AM – 2:00 PM, 5:00 – 8:30 PM","restaurant"
"Hal’s Office Coffee","San Francisco Bay Area","Albany","California","United States of America","Yes","Neighbor-ly spot in Albany: get their empanadas and an espresso and thank me later!","1207 Solano Ave, Albany, CA 94706, United States",4.6,183,"https://www.google.com/maps/search/?api=1&query=1207%20Solano%20Ave,%20Albany,%20CA%2094706,%20United%20States&query_place_id=ChIJu1DJ0DN5hYARRSovhhQLnJs",37.89058,-122.2959295,"Monday: 7:00 AM – 5:00 PM
 Tuesday: 7:00 AM – 5:00 PM
 Wednesday: 7:00 AM – 5:00 PM
 Thursday: 7:00 AM – 5:00 PM
 Friday: 7:00 AM – 5:00 PM
 Saturday: 8:00 AM – 5:00 PM
 Sunday: 8:00 AM – 5:00 PM","cafe"
"Signal Coffee","San Francisco Bay Area","Berkeley","California","United States of America",NA,"Great coffee and service: another of those good-for-cycling refreshment places. Bonus for having ridgeplots as their logo.","1707 Solano Ave, Berkeley, CA 94707, United States",4.7,41,"https://www.google.com/maps/search/?api=1&query=1707%20Solano%20Ave,%20Berkeley,%20CA%2094707,%20United%20States&query_place_id=ChIJAV1cKb55hYARvn8EgKZdkMM",37.8913733,-122.282391,"Monday: 7:00 AM – 4:00 PM
 Tuesday: 7:00 AM – 4:00 PM
 Wednesday: 7:00 AM – 4:00 PM
 Thursday: 7:00 AM – 4:00 PM
 Friday: 7:00 AM – 4:00 PM
 Saturday: 8:00 AM – 4:00 PM
 Sunday: 8:00 AM – 4:00 PM","cafe"
"Noe Cafe","San Francisco Bay Area","San Francisco","California","United States of America",NA,"A sunny neighborhood cafe: on a typical day, you'll find people walking their dogs, taking their babies out for walks or just reading. Great for meeting new people.","1299 Sanchez St, San Francisco, CA 94114, United States",4.7,279,"https://www.google.com/maps/search/?api=1&query=1299%20Sanchez%20St,%20San%20Francisco,%20CA%2094114,%20United%20States&query_place_id=ChIJGzD_VaV_j4ARXsfoRJmwqn8",37.7485047,-122.4292293,"Monday: 7:00 AM – 6:00 PM
 Tuesday: 7:00 AM – 6:00 PM
 Wednesday: 7:00 AM – 6:00 PM
 Thursday: 7:00 AM – 7:00 PM
 Friday: 7:00 AM – 7:00 PM
 Saturday: 7:00 AM – 7:00 PM
 Sunday: 7:00 AM – 6:00 PM","cafe"
"SPRO","San Francisco Bay Area","San Francisco","California","United States of America","Yes","Coffee truck alert!","601 Mission Bay Boulevard North, San Francisco, CA 94158, United States",4.7,265,"https://www.google.com/maps/search/?api=1&query=601%20Mission%20Bay%20Boulevard%20North,%20San%20Francisco,%20CA%2094158,%20United%20States&query_place_id=ChIJUcfd3c9_j4ARYgUQAMZQBxs",37.7708621,-122.3913901,"Monday: 7:00 AM – 4:00 PM
 Tuesday: 7:00 AM – 4:00 PM
 Wednesday: 7:00 AM – 4:00 PM
 Thursday: 7:00 AM – 4:00 PM
 Friday: 7:00 AM – 4:00 PM
 Saturday: 7:00 AM – 4:00 PM
 Sunday: 7:00 AM – 4:00 PM","bakery"
"Little Gem Belgian Waffles","San Francisco Bay Area","Berkeley","California","United States of America","Yes","A very tasty surprise in the middle of Telegraph avenue. Some of the best waffles I've tried, but I'd recommend keeping it to 2 toppings.","2468 Telegraph Ave Suite A, Berkeley, CA 94704, United States",4.5,214,"https://www.google.com/maps/search/?api=1&query=2468%20Telegraph%20Ave%20Suite%20A,%20Berkeley,%20CA%2094704,%20United%20States&query_place_id=ChIJOaTDxi58hYARnB1yJXzRhdE",37.8656213,-122.2586825,"Monday: 3:00 PM – 12:00 AM
 Tuesday: 3:00 PM – 12:00 AM
 Wednesday: 3:00 PM – 12:00 AM
 Thursday: 3:00 PM – 12:00 AM
 Friday: 12:00 PM – 12:30 AM
 Saturday: 12:00 PM – 1:00 AM
 Sunday: 12:00 PM – 12:00 AM","bakery"
"Tony’s Pizza Napoletana","San Francisco Bay Area","San Francisco","California","United States of America","Yes","The other pizza spot in my top 2. Incredibly popular but also fully deserves all its hype. Props for getting creative with the pizza: I loved the jam-flavored one I got.","1570 Stockton St, San Francisco, CA 94133, United States",4.5,6677,"https://www.google.com/maps/search/?api=1&query=1570%20Stockton%20St,%20San%20Francisco,%20CA%2094133,%20United%20States&query_place_id=ChIJHXHcEvGAhYARQPuHNN78s78",37.8003901,-122.4090335,"Monday: 12:00 – 10:00 PM
 Tuesday: 12:00 – 10:00 PM
 Wednesday: 12:00 – 10:00 PM
 Thursday: 12:00 – 10:00 PM
 Friday: 12:00 – 11:00 PM
 Saturday: 12:00 – 11:00 PM
 Sunday: 12:00 – 11:00 PM","restaurant"
